series,t_seconds,value
proactive (this run),3542.191,0.992318
proactive (this run),3550.240,0.992315
proactive (this run),3555.331,0.992330
proactive (this run),3562.295,0.992342
proactive (this run),3572.653,0.992342
proactive (this run),3587.926,0.992375
proactive (this run),3606.037,0.992381
proactive (this run),3614.424,0.992397
proactive (this run),3618.629,0.992365
proactive (this run),3627.012,0.992358
proactive (this run),3630.973,0.992375
proactive (this run),3637.037,0.992382
proactive (this run),3651.410,0.992375
proactive (this run),3656.413,0.992348
proactive (this run),3669.478,0.992342
proactive (this run),3680.018,0.992335
proactive (this run),3690.294,0.992328
proactive (this run),3696.215,0.992302
proactive (this run),3704.930,0.992282
proactive (this run),3713.773,0.992268
proactive (this run),3722.961,0.992295
proactive (this run),3727.060,0.992330
proactive (this run),3735.160,0.992324
proactive (this run),3748.670,0.992324
proactive (this run),3761.009,0.992342
proactive (this run),3768.180,0.992342
proactive (this run),3775.638,0.992342
proactive (this run),3784.035,0.992349
proactive (this run),3787.505,0.992295
proactive (this run),3794.669,0.992307
proactive (this run),3807.148,0.992313
proactive (this run),3818.388,0.992318
proactive (this run),3822.812,0.992330
proactive (this run),3829.589,0.992342
proactive (this run),3842.753,0.992342
proactive (this run),3851.493,0.992375
proactive (this run),3861.656,0.992375
proactive (this run),3869.832,0.992382
proactive (this run),3873.445,0.992365
proactive (this run),3880.330,0.992365
proactive (this run),3883.936,0.992371
proactive (this run),3893.791,0.992377
proactive (this run),3915.183,0.992375
proactive (this run),3920.293,0.992348
proactive (this run),3933.414,0.992335
proactive (this run),3941.617,0.992342
proactive (this run),3949.043,0.992303
proactive (this run),3954.508,0.992287
proactive (this run),3962.610,0.992282
proactive (this run),3971.925,0.992289
proactive (this run),3981.040,0.992295
proactive (this run),3984.929,0.992330
proactive (this run),3994.578,0.992324
proactive (this run),4002.972,0.992324
proactive (this run),4008.555,0.992326
proactive (this run),4014.046,0.992326
proactive (this run),4023.000,0.992342
proactive (this run),4033.425,0.992348
proactive (this run),4037.397,0.992331
proactive (this run),4049.104,0.992307
proactive (this run),4056.200,0.992313
proactive (this run),4063.880,0.992318
proactive (this run),4067.357,0.992331
proactive (this run),4074.013,0.992331
proactive (this run),4081.901,0.992342
proactive (this run),4088.970,0.992358
proactive (this run),4100.495,0.992377
proactive (this run),4107.490,0.992378
proactive (this run),4112.093,0.992363
proactive (this run),4119.893,0.992358
proactive (this run),4124.283,0.992378
proactive (this run),4132.182,0.992373
proactive (this run),4143.050,0.992389
proactive (this run),4147.540,0.992363
proactive (this run),4157.893,0.992347
proactive (this run),4167.245,0.992331
proactive (this run),4175.011,0.992324
proactive (this run),4181.131,0.992324
proactive (this run),4187.555,0.992295
proactive (this run),4196.325,0.992289
proactive (this run),4205.432,0.992277
proactive (this run),4209.390,0.992330
proactive (this run),4219.523,0.992324
proactive (this run),4227.764,0.992324
proactive (this run),4235.353,0.992336
proactive (this run),4242.866,0.992330
proactive (this run),4249.430,0.992342
proactive (this run),4254.880,0.992347
proactive (this run),4257.796,0.992331
proactive (this run),4266.737,0.992337
proactive (this run),4274.427,0.992311
proactive (this run),4283.180,0.992311
proactive (this run),4287.456,0.992323
proactive (this run),4297.134,0.992331
proactive (this run),4305.849,0.992342
proactive (this run),4314.008,0.992358
proactive (this run),4323.105,0.992377
proactive (this run),4331.202,0.992377
