series,t_seconds,value
spillover,2514.190,0.992375
spillover,2519.608,0.992348
spillover,2527.231,0.992342
spillover,2538.138,0.992324
spillover,2547.902,0.992328
spillover,2556.765,0.992302
spillover,2566.301,0.992282
spillover,2575.344,0.992268
spillover,2583.914,0.992295
spillover,2588.107,0.992328
spillover,2595.486,0.992324
spillover,2605.131,0.992324
spillover,2609.942,0.992336
spillover,2615.428,0.992326
spillover,2622.073,0.992331
spillover,2628.151,0.992347
spillover,2631.532,0.992332
spillover,2638.392,0.992337
spillover,2644.638,0.992337
spillover,2654.124,0.992309
spillover,2657.232,0.992323
spillover,2666.157,0.992332
spillover,2674.961,0.992332
spillover,2686.227,0.992358
spillover,2697.875,0.992377
spillover,2706.488,0.992382
spillover,2709.765,0.992365
spillover,2717.853,0.992355
spillover,2721.848,0.992371
spillover,2728.299,0.992377
spillover,2740.567,0.992389
spillover,2745.172,0.992363
spillover,2753.900,0.992347
spillover,2761.990,0.992331
spillover,2769.124,0.992316
spillover,2773.559,0.992321
spillover,2781.942,0.992295
spillover,2792.395,0.992289
spillover,2801.621,0.992277
spillover,2804.822,0.992311
spillover,2813.585,0.992326
spillover,2822.873,0.992324
spillover,2828.927,0.992326
spillover,2835.105,0.992330
spillover,2841.550,0.992331
spillover,2846.979,0.992347
spillover,2856.165,0.992331
spillover,2866.852,0.992307
spillover,2873.776,0.992313
spillover,2882.052,0.992311
spillover,2886.247,0.992331
spillover,2894.188,0.992331
spillover,2904.659,0.992342
spillover,2912.006,0.992354
spillover,2922.836,0.992377
spillover,2928.893,0.992377
spillover,2933.406,0.992363
spillover,2943.459,0.992365
spillover,2947.639,0.992371
spillover,2954.985,0.992377
spillover,2966.151,0.992389
spillover,2971.210,0.992363
spillover,2984.097,0.992342
spillover,2991.159,0.992324
spillover,2999.742,0.992324
spillover,3008.746,0.992302
spillover,3019.218,0.992282
spillover,3027.926,0.992268
spillover,3037.267,0.992295
spillover,3042.911,0.992330
spillover,3049.731,0.992324
spillover,3059.955,0.992335
spillover,3068.981,0.992342
spillover,3076.889,0.992330
spillover,3083.789,0.992342
spillover,3089.173,0.992348
spillover,3091.509,0.992331
spillover,3099.305,0.992337
spillover,3105.923,0.992311
spillover,3116.179,0.992311
spillover,3121.718,0.992331
spillover,3129.176,0.992331
spillover,3140.357,0.992342
spillover,3148.140,0.992358
spillover,3160.969,0.992375
spillover,3170.467,0.992382
spillover,3174.510,0.992365
spillover,3183.569,0.992355
