series,minute_center,count
proactive (primary),430.500,1
proactive (primary),431.500,1
proactive (primary),432.500,0
proactive (primary),433.500,1
proactive (primary),434.500,1
proactive (primary),435.500,1
proactive (primary),436.500,1
proactive (primary),437.500,1
proactive (primary),438.500,1
proactive (primary),439.500,0
proactive (primary),440.500,1
proactive (primary),441.500,1
proactive (primary),442.500,1
proactive (primary),443.500,1
proactive (primary),444.500,1
proactive (primary),445.500,1
proactive (primary),446.500,1
proactive (primary),447.500,1
proactive (primary),448.500,0
proactive (primary),449.500,1
proactive (primary),450.500,1
proactive (primary),451.500,1
proactive (primary),452.500,1
proactive (primary),453.500,1
proactive (primary),454.500,1
proactive (primary),455.500,0
proactive (primary),456.500,0
proactive (primary),457.500,1
proactive (primary),458.500,1
proactive (primary),459.500,1
proactive (primary),460.500,0
proactive (primary),461.500,1
proactive (primary),462.500,1
proactive (primary),463.500,1
proactive (primary),464.500,1
proactive (primary),465.500,0
proactive (primary),466.500,1
proactive (primary),467.500,1
proactive (primary),468.500,1
proactive (primary),469.500,1
proactive (primary),470.500,1
proactive (primary),471.500,1
proactive (primary),472.500,1
proactive (primary),473.500,1
proactive (primary),474.500,0
proactive (primary),475.500,1
proactive (primary),476.500,2
proactive (primary),477.500,0
proactive (primary),478.500,1
proactive (primary),479.500,1
proactive (primary),480.500,1
proactive (primary),481.500,1
proactive (primary),482.500,0
proactive (primary),483.500,1
proactive (primary),484.500,1
proactive (primary),485.500,1
proactive (primary),486.500,0
proactive (primary),487.500,1
proactive (primary),488.500,1
proactive (primary),489.500,1
proactive (primary),490.500,1
proactive (primary),491.500,1
proactive (primary),492.500,0
proactive (primary),493.500,1
proactive (primary),494.500,1
proactive (primary),495.500,1
proactive (primary),496.500,1
proactive (primary),497.500,1
proactive (primary),498.500,0
proactive (primary),499.500,1
proactive (primary),500.500,1
proactive (primary),501.500,1
proactive (primary),502.500,1
proactive (primary),503.500,1
proactive (primary),504.500,1
proactive (primary),505.500,1
proactive (primary),506.500,1
proactive (primary),507.500,1
proactive (primary),508.500,1
proactive (primary),509.500,0
proactive (primary),510.500,1
proactive (primary),511.500,1
proactive (primary),512.500,1
proactive (primary),513.500,1
proactive (primary),514.500,0
proactive (primary),515.500,1
proactive (primary),516.500,1
proactive (primary),517.500,2
proactive (primary),518.500,0
proactive (primary),519.500,1
proactive (primary),520.500,1
proactive (primary),521.500,1
proactive (primary),522.500,1
proactive (primary),523.500,1
proactive (primary),524.500,1
proactive (primary),525.500,1
proactive (primary),526.500,1
proactive (primary),527.500,1
proactive (primary),528.500,0
proactive (primary),529.500,2
proactive (primary),530.500,1
proactive (primary),531.500,1
proactive (primary),532.500,1
proactive (primary),533.500,1
proactive (primary),534.500,1
proactive (primary),535.500,1
proactive (primary),536.500,1
proactive (primary),537.500,1
proactive (primary),538.500,1
proactive (primary),539.500,1
proactive (primary),540.500,1
proactive (primary),541.500,1
proactive (primary),542.500,1
proactive (primary),543.500,0
proactive (primary),544.500,1
proactive (primary),545.500,1
proactive (primary),546.500,1
proactive (primary),547.500,1
proactive (primary),548.500,1
proactive (primary),549.500,1
proactive (primary),550.500,1
proactive (primary),551.500,1
proactive (primary),552.500,1
proactive (primary),553.500,1
proactive (primary),554.500,1
proactive (primary),555.500,0
proactive (primary),556.500,1
proactive (primary),557.500,1
