series,t_seconds,value
primary,18517.677,0.992342
primary,18547.194,0.992412
primary,18576.625,0.992404
primary,18603.373,0.992420
primary,18633.184,0.992342
primary,18665.452,0.992272
primary,18693.046,0.992342
primary,18723.532,0.992389
primary,18756.892,0.992412
primary,18782.733,0.992326
primary,18817.812,0.992248
primary,18843.719,0.992295
primary,18875.182,0.992279
primary,18904.236,0.992272
primary,18936.377,0.992272
primary,18966.495,0.992295
primary,18997.258,0.992342
primary,19022.037,0.992420
primary,19055.288,0.992404
primary,19085.170,0.992272
primary,19115.592,0.992295
primary,19145.166,0.992279
primary,19174.967,0.992311
primary,19205.085,0.992326
primary,19232.333,0.992311
primary,19268.578,0.992295
primary,19296.021,0.992365
primary,19326.420,0.992342
primary,19352.245,0.992358
primary,19387.229,0.992389
primary,19419.502,0.992342
primary,19447.383,0.992412
primary,19478.220,0.992404
primary,19505.531,0.992420
primary,19534.120,0.992342
primary,19566.591,0.992272
primary,19592.533,0.661561
primary,19628.616,0.000000
primary,19661.596,0.496206
primary,19683.298,0.661551
primary,19717.055,0.992311
primary,19746.378,0.992295
primary,19776.688,0.992279
primary,19806.851,0.992272
primary,19836.694,0.992272
primary,19867.927,0.992295
primary,19898.555,0.992342
primary,19926.149,0.661613
primary,19963.604,0.496218
primary,19991.708,0.992272
primary,20018.364,0.992295
primary,20045.794,0.992279
primary,20076.406,0.992311
primary,20107.859,0.992365
primary,20133.454,0.992311
primary,20170.424,0.992295
primary,20195.298,0.992365
primary,20229.268,0.992342
primary,20256.575,0.992365
primary,20291.658,0.992389
primary,20321.481,0.992342
primary,20349.219,0.992389
primary,20379.315,0.992404
primary,20406.858,0.992420
primary,20434.607,0.992342
primary,20467.992,0.992272
primary,20493.863,0.992342
primary,20527.692,0.992389
primary,20562.129,0.992412
primary,20584.523,0.992326
primary,20625.815,0.992248
primary,20648.252,0.992295
primary,20678.217,0.992279
primary,20705.663,0.992264
primary,20736.298,0.992264
primary,20768.809,0.992295
primary,20797.463,0.992342
primary,20824.140,0.992420
primary,20859.263,0.992436
primary,20890.700,0.992272
primary,20918.660,0.992295
primary,20947.940,0.992279
primary,20976.718,0.992311
primary,21006.981,0.992326
primary,21034.060,0.992311
primary,21071.857,0.992295
primary,21098.163,0.992365
primary,21128.575,0.992342
primary,21154.931,0.992358
primary,21188.800,0.992389
primary,21219.504,0.992342
primary,21249.768,0.496206
primary,21282.511,0.496218
primary,21307.587,0.661613
primary,21335.035,0.992342
primary,21369.248,0.992272
primary,21394.861,0.992342
primary,21429.451,0.992436
primary,21464.363,0.992412
primary,21486.489,0.992326
primary,21522.919,0.992311
primary,21551.695,0.992295
primary,21577.815,0.992279
primary,21607.163,0.992264
primary,21639.041,0.992272
primary,21670.374,0.992295
primary,21699.662,0.992342
primary,21725.033,0.992420
primary,21758.920,0.992404
primary,21790.755,0.992272
primary,21818.467,0.992295
primary,21848.756,0.992279
primary,21879.682,0.992295
primary,21908.248,0.661551
primary,21935.489,0.661540
primary,21969.621,0.992295
primary,21997.928,0.992365
primary,22028.468,0.992342
primary,22056.516,0.992318
primary,22145.205,0.992248
primary,22154.830,0.992272
primary,22158.239,0.992342
primary,22180.245,0.992354
primary,22213.269,0.992401
primary,22236.943,0.992326
primary,22272.181,0.992311
primary,22299.984,0.992295
primary,22332.082,0.992279
primary,22358.505,0.992264
primary,22392.194,0.992272
primary,22421.377,0.992295
primary,22450.349,0.992311
primary,22476.368,0.992420
primary,22511.798,0.992436
primary,22541.699,0.992272
primary,22570.118,0.992295
primary,22600.305,0.992279
primary,22633.040,0.992295
primary,22659.060,0.992326
primary,22686.507,0.992311
primary,22722.871,0.992295
primary,22751.517,0.992365
primary,22780.282,0.992342
primary,22807.512,0.992358
primary,22841.125,0.992389
primary,22872.554,0.992342
primary,22901.200,0.992412
primary,22934.194,0.992436
primary,22959.795,0.992420
primary,22986.761,0.992342
primary,23022.225,0.992272
primary,23046.849,0.992389
primary,23081.492,0.992389
primary,23111.423,0.992412
primary,23139.545,0.992326
primary,23173.202,0.992248
primary,23202.676,0.992295
primary,23231.535,0.992279
primary,23260.261,0.992264
primary,23293.625,0.992272
primary,23320.862,0.992295
primary,23353.120,0.992311
primary,23376.876,0.992420
primary,23411.197,0.992404
primary,23442.340,0.992272
primary,23472.392,0.992295
primary,23501.898,0.992279
